diagrp,Cause,jobcode,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
2,Zoonotic bacterial diseases,90,Other Administrators,3,1.13,265,55,775,0.88,340,70,994
2,Zoonotic bacterial diseases,100,Teachers in Higher Education,0,0.23,0,0,1604,0.21,0,0,1756
2,Zoonotic bacterial diseases,110,School Teachers,0,0.67,0,0,554,0.42,0,0,868
2,Zoonotic bacterial diseases,120,"Vocational Trainers, Social Scientists etc.",0,0.17,0,0,2188,0.15,0,0,2529
2,Zoonotic bacterial diseases,130,Welfare Workers,0,0.27,0,0,1348,0.22,0,0,1709
2,Zoonotic bacterial diseases,140,Clergy,0,0.02,0,0,19955,0.06,0,0,5858
2,Zoonotic bacterial diseases,150,Doctors,0,0.03,0,0,12472,0.11,0,0,3404
2,Zoonotic bacterial diseases,160,Dentists,0,0.01,0,0,50553,0.02,0,0,17016
2,Zoonotic bacterial diseases,170,Nurses,0,0.18,0,0,2010,0.14,0,0,2654
2,Zoonotic bacterial diseases,180,Pharmacists/Pharmacologists,0,0.01,0,0,30285,0.03,0,0,11628
2,Zoonotic bacterial diseases,190,Medical Radiographers,0,0.01,0,0,48895,0.01,0,0,60938
2,Zoonotic bacterial diseases,200,Physiotherapists,0,0.01,0,0,58355,0.01,0,0,70580
2,Zoonotic bacterial diseases,210,Other Health Professions,0,0.07,0,0,5073,0.08,0,0,4768
2,Zoonotic bacterial diseases,220,Veterinarians,0,0.00,0,0,199551,0.01,0,0,48587
2,Zoonotic bacterial diseases,230,Driving Instructors,0,0.10,0,0,3864,0.07,0,0,4934
2,Zoonotic bacterial diseases,240,Literary and Artistic Occupations,1,0.76,132,4,733,0.66,152,5,845
2,Zoonotic bacterial diseases,250,"Professional athletes, sports officials",1,0.06,1606,48,8947,0.05,1845,55,10278
2,Zoonotic bacterial diseases,260,Biological scientists,0,0.01,0,0,33079,0.05,0,0,7860
2,Zoonotic bacterial diseases,270,Chemical Engineers and Scientists,1,0.02,5408,162,30122,0.06,1619,49,9016
2,Zoonotic bacterial diseases,280,Physical Scientists & mathematicians,0,0.02,0,0,17553,0.08,0,0,4891
2,Zoonotic bacterial diseases,290,Electrical and Electronic Engineers (professional),0,0.01,0,0,61153,0.02,0,0,16634
2,Zoonotic bacterial diseases,300,Other Professional Engineers,0,0.27,0,0,1344,0.52,0,0,715
2,Zoonotic bacterial diseases,310,Draughtspersons,1,0.08,1250,37,6960,0.09,1073,32,5975
2,Zoonotic bacterial diseases,320,Laboratory Technicians,0,0.14,0,0,2688,0.10,0,0,3863
2,Zoonotic bacterial diseases,330,Architects and Surveyors,0,0.14,0,0,2559,0.24,0,0,1526
2,Zoonotic bacterial diseases,340,Aircraft Flight Deck Officers,0,0.01,0,0,59242,0.02,0,0,18478
2,Zoonotic bacterial diseases,350,Air Traffic Controllers,0,0.01,0,0,44688,0.01,0,0,61409
2,Zoonotic bacterial diseases,360,Seafarers,1,0.18,558,17,3106,0.15,682,20,3799
2,Zoonotic bacterial diseases,370,Other Technicians,0,0.37,0,0,998,0.28,0,0,1327
2,Zoonotic bacterial diseases,380,Production and maintenance managers,0,0.25,0,0,1505,0.50,0,0,733
2,Zoonotic bacterial diseases,390,Managers in Construction,0,0.32,0,0,1141,0.21,0,0,1751
2,Zoonotic bacterial diseases,400,"Managers in Transport, Mining and Energy Industries",0,0.48,0,0,762,0.35,0,0,1041
2,Zoonotic bacterial diseases,410,General and office managers,0,0.37,0,0,991,0.27,0,0,1382
2,Zoonotic bacterial diseases,420,Butchers,0,0.16,0,0,2270,0.16,0,0,2258
2,Zoonotic bacterial diseases,430,"Fishmongers, Poultry Dressers",0,0.02,0,0,17975,0.02,0,0,18474
2,Zoonotic bacterial diseases,440,Retailers and Dealers,2,1.54,130,16,470,1.15,174,21,629
2,Zoonotic bacterial diseases,450,Publicans and Bar staff,0,0.62,0,0,600,0.45,0,0,812
2,Zoonotic bacterial diseases,460,Caterers,1,0.41,245,7,1367,0.32,309,9,1721
2,Zoonotic bacterial diseases,471,Farming and fishing,3,1.14,264,55,771,1.05,285,59,834
2,Zoonotic bacterial diseases,480,Armed Forces,0,0.20,0,0,1887,0.29,0,0,1286
2,Zoonotic bacterial diseases,490,Police,0,0.21,0,0,1756,0.26,0,0,1432
2,Zoonotic bacterial diseases,500,Fire Service Personnel,0,0.07,0,0,5636,0.08,0,0,4410
2,Zoonotic bacterial diseases,510,"Launderers, Dry Cleaners, Pressers",1,0.03,3726,112,20752,0.03,3659,110,20380
2,Zoonotic bacterial diseases,520,Hairdressers,0,0.09,0,0,4092,0.08,0,0,4751
2,Zoonotic bacterial diseases,530,Office Workers and Cashiers,0,1.25,0,0,296,1.54,0,0,240
2,Zoonotic bacterial diseases,540,"Postal Workers, Mail Sorters",1,0.51,195,6,1084,0.42,236,7,1316
2,Zoonotic bacterial diseases,560,Roundsmen/women & Van Salespersons,0,0.07,0,0,5242,0.07,0,0,5515
2,Zoonotic bacterial diseases,570,Sales Representatives,2,0.56,359,43,1297,0.41,485,58,1751
2,Zoonotic bacterial diseases,580,Security Workers,0,0.89,0,0,415,0.78,0,0,475
2,Zoonotic bacterial diseases,590,Cooks,3,0.60,500,103,1461,0.47,639,132,1868
2,Zoonotic bacterial diseases,600,Other Service Personnel,0,0.94,0,0,395,0.95,0,0,388
2,Zoonotic bacterial diseases,601,Call centre workers,0,0.00,0,0,76911,0.02,0,0,20319
2,Zoonotic bacterial diseases,610,Hospital Porters and Ward Orderlies,0,0.54,0,0,679,0.44,0,0,830
2,Zoonotic bacterial diseases,620,Ambulance Staff,0,0.04,0,0,9134,0.05,0,0,6927
2,Zoonotic bacterial diseases,631,Rail travel assistants,0,0.03,0,0,13357,0.03,0,0,11117
2,Zoonotic bacterial diseases,640,Undertakers,0,0.03,0,0,12867,0.03,0,0,13552
2,Zoonotic bacterial diseases,650,Forestry Workers,0,0.02,0,0,15543,0.02,0,0,17103
2,Zoonotic bacterial diseases,671,Leather and related trades,0,0.03,0,0,12954,0.03,0,0,12434
2,Zoonotic bacterial diseases,711,Weavers and knitters,0,0.02,0,0,15615,0.03,0,0,14305
2,Zoonotic bacterial diseases,740,Other Textile Processing Operatives,0,0.04,0,0,10386,0.04,0,0,9207
2,Zoonotic bacterial diseases,750,Chemical workers,0,0.10,0,0,3862,0.16,0,0,2365
2,Zoonotic bacterial diseases,760,Bakers,0,0.05,0,0,7414,0.07,0,0,5086
2,Zoonotic bacterial diseases,780,"Other Food, Drink & Tobacco Process Operatives n.e.c.",0,0.25,0,0,1481,0.22,0,0,1683
2,Zoonotic bacterial diseases,791,Paper and wood machine operatives,0,0.12,0,0,3161,0.10,0,0,3593
2,Zoonotic bacterial diseases,800,Bookbinders,0,0.03,0,0,13260,0.03,0,0,13098
2,Zoonotic bacterial diseases,821,Glass and ceramics workers,0,0.08,0,0,4381,0.08,0,0,4347
2,Zoonotic bacterial diseases,850,Rubber Manufacturers,0,0.03,0,0,13489,0.03,0,0,13229
2,Zoonotic bacterial diseases,881,Coal miners,0,0.25,0,0,1466,0.30,0,0,1231
2,Zoonotic bacterial diseases,930,Plastic goods makers,0,0.07,0,0,5526,0.06,0,0,6268
2,Zoonotic bacterial diseases,940,Compositors,0,0.01,0,0,28331,0.02,0,0,18905
2,Zoonotic bacterial diseases,960,Printing Machine Minders & Assistants,0,0.04,0,0,9172,0.03,0,0,10973
2,Zoonotic bacterial diseases,970,Printers,0,0.12,0,0,3167,0.19,0,0,1990
2,Zoonotic bacterial diseases,980,Tailors & Dressmakers,0,0.02,0,0,15915,0.02,0,0,17294
2,Zoonotic bacterial diseases,990,Clothing cutter,0,0.01,0,0,30879,0.01,0,0,36236
2,Zoonotic bacterial diseases,1000,Sewers & embroiderers,0,0.04,0,0,8995,0.04,0,0,8395
2,Zoonotic bacterial diseases,1010,Upholsterers,0,0.05,0,0,7841,0.05,0,0,7921
2,Zoonotic bacterial diseases,1020,Floorers and wall tilers,0,0.12,0,0,3137,0.11,0,0,3463
2,Zoonotic bacterial diseases,1030,Other workers with fabrics,0,0.01,0,0,36209,0.01,0,0,39364
2,Zoonotic bacterial diseases,1040,Carpenters & Joiners,0,1.01,0,0,365,0.82,0,0,451
2,Zoonotic bacterial diseases,1050,Cabinet Makers,1,0.08,1194,36,6650,0.08,1208,36,6727
2,Zoonotic bacterial diseases,1070,Pattern Makers (moulds),0,0.01,0,0,70778,0.01,0,0,41800
2,Zoonotic bacterial diseases,1140,Smiths & Forge Workers,0,0.02,0,0,18109,0.02,0,0,17189
2,Zoonotic bacterial diseases,1160,"Moulders, Core Makers, Die Casters",0,0.03,0,0,14369,0.03,0,0,14726
2,Zoonotic bacterial diseases,1170,Electroplater,0,0.02,0,0,17745,0.02,0,0,20603
2,Zoonotic bacterial diseases,1200,Other Metal Manufacturers,1,0.10,1049,31,5842,0.10,975,29,5428
2,Zoonotic bacterial diseases,1211,Metal machining setters and setter-operators,0,0.14,0,0,2566,0.13,0,0,2787
2,Zoonotic bacterial diseases,1241,Metal working machine operatives,0,0.89,0,0,413,0.82,0,0,453
2,Zoonotic bacterial diseases,1290,"Tool Makers, Tool Fitters & Markers-Out",0,0.07,0,0,5567,0.11,0,0,3375
2,Zoonotic bacterial diseases,1300,Precision Instrument Makers & Repairers,0,0.04,0,0,9093,0.06,0,0,5839
2,Zoonotic bacterial diseases,1320,Production fitters,1,0.51,197,6,1099,0.82,122,4,681
2,Zoonotic bacterial diseases,1330,"Motor Mechanics, Auto Engineers (including road patrol engineers)",0,0.36,0,0,1013,0.49,0,0,755
2,Zoonotic bacterial diseases,1370,"Electricians, Electrical Maintenance Fitters",0,0.55,0,0,672,0.78,0,0,471
2,Zoonotic bacterial diseases,1390,Telephone Fitters,0,0.13,0,0,2843,0.17,0,0,2198
2,Zoonotic bacterial diseases,1400,"Cable Jointers, Lines Repairers",0,0.02,0,0,24370,0.02,0,0,14865
2,Zoonotic bacterial diseases,1410,"Radio, TV & Video Engineers",1,0.03,3384,102,18851,0.04,2250,68,12534
2,Zoonotic bacterial diseases,1420,Other Electrical/Electronic Trades n.e.c.,0,0.05,0,0,6795,0.10,0,0,3824
2,Zoonotic bacterial diseases,1430,Electrical Engineers (not professional),0,0.15,0,0,2533,0.21,0,0,1798
2,Zoonotic bacterial diseases,1440,"Plumbers, Heating & Ventilating Engineers & Related Trades",0,0.44,0,0,845,0.55,0,0,676
2,Zoonotic bacterial diseases,1450,Sheet Metal Workers,1,0.11,926,28,5160,0.09,1068,32,5948
2,Zoonotic bacterial diseases,1460,"Metal Plate Workers, Shipwrights, Riveters",0,0.05,0,0,7345,0.06,0,0,6597
2,Zoonotic bacterial diseases,1470,Steel Erectors,0,0.07,0,0,5234,0.06,0,0,6169
2,Zoonotic bacterial diseases,1480,"Scaffolders, Stagers, Steeplejacks, Riggers",1,0.17,582,17,3244,0.13,761,23,4236
2,Zoonotic bacterial diseases,1490,Welding Trades,0,0.31,0,0,1207,0.32,0,0,1138
2,Zoonotic bacterial diseases,1510,Jewellery workers,0,0.02,0,0,20769,0.02,0,0,16487
2,Zoonotic bacterial diseases,1530,Coach & Vehicle Body Builders,0,0.06,0,0,6583,0.08,0,0,4607
2,Zoonotic bacterial diseases,1540,"Oilers, Greasers, Lubricators",0,0.40,0,0,927,0.31,0,0,1186
2,Zoonotic bacterial diseases,1580,Coach Painters,0,0.04,0,0,8955,0.03,0,0,10739
2,Zoonotic bacterial diseases,1600,Painters & Decorators,0,0.92,0,0,399,0.73,0,0,507
2,Zoonotic bacterial diseases,1610,Assemblers/Lineworkers (electrical/electronic goods),0,0.06,0,0,6447,0.05,0,0,7639
2,Zoonotic bacterial diseases,1630,Assemblers/Lineworkers (vehicles & other metal goods),0,0.13,0,0,2918,0.11,0,0,3349
2,Zoonotic bacterial diseases,1640,"Packers, Sorters and Testers",1,0.23,430,13,2393,0.31,326,10,1818
2,Zoonotic bacterial diseases,1650,"Bricklayers, Masons",0,0.38,0,0,964,0.31,0,0,1189
2,Zoonotic bacterial diseases,1670,Plasterers,0,0.28,0,0,1337,0.20,0,0,1827
2,Zoonotic bacterial diseases,1680,Roofers and Glaziers,0,0.35,0,0,1044,0.29,0,0,1274
2,Zoonotic bacterial diseases,1700,Rail Construction & Maintenance Workers,0,0.01,0,0,24903,0.03,0,0,13867
2,Zoonotic bacterial diseases,1710,Road Construction Workers and Paviors,0,0.13,0,0,2869,0.11,0,0,3255
2,Zoonotic bacterial diseases,1720,Sewage plant attendants,0,0.01,0,0,27426,0.02,0,0,15755
2,Zoonotic bacterial diseases,1740,Other Construction Workers,1,2.89,35,1,193,2.58,39,1,216
2,Zoonotic bacterial diseases,1760,Mine (excluding coal) & Quarry Workers,0,0.02,0,0,15533,0.04,0,0,8865
2,Zoonotic bacterial diseases,1781,Rail transport operatives,0,0.05,0,0,7800,0.09,0,0,4014
2,Zoonotic bacterial diseases,1800,Railway engine drivers,0,0.02,0,0,16138,0.04,0,0,8670
2,Zoonotic bacterial diseases,1820,Bus & Coach Drivers,0,0.35,0,0,1046,0.39,0,0,949
2,Zoonotic bacterial diseases,1830,Lorry drivers,2,1.76,114,14,411,1.85,108,13,389
2,Zoonotic bacterial diseases,1840,Other motor drivers,0,0.65,0,0,572,0.52,0,0,707
2,Zoonotic bacterial diseases,1860,Mechanical Plant Drivers & Operatives (earth moving & civil engineering),0,0.13,0,0,2740,0.15,0,0,2446
2,Zoonotic bacterial diseases,1870,Crane Drivers,0,0.08,0,0,4558,0.07,0,0,5089
