diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
1,Intestinal infectious diseases,54,"Postal Workers, Mail Sorters",4,2.36,169,46,434,2.23,180,49,460
1,Intestinal infectious diseases,55,Petrol Pump Forecourt Attendants,0,0.07,0,0,5323,0.07,0,0,5059
1,Intestinal infectious diseases,56,Roundsmen/women & Van Salespersons,0,0.47,0,0,786,0.55,0,0,668
1,Intestinal infectious diseases,57,Sales Representatives,1,2.43,41,1,230,2.48,40,1,224
1,Intestinal infectious diseases,58,Security Workers,1,3.27,31,1,170,3.01,33,1,185
1,Intestinal infectious diseases,59,Cooks and Kitchen Porters,1,0.76,132,3,736,0.82,122,3,678
1,Intestinal infectious diseases,60,Other Service Personnel,2,5.69,35,4,127,5.01,40,5,144
1,Intestinal infectious diseases,61,Hospital Porters and Ward Orderlies,0,0.93,0,0,395,0.87,0,0,425
1,Intestinal infectious diseases,62,Ambulance Staff,1,0.22,449,11,2501,0.26,378,10,2106
1,Intestinal infectious diseases,63,Railway Station Staff,0,0.95,0,0,389,0.78,0,0,475
1,Intestinal infectious diseases,64,Undertakers,0,0.11,0,0,3455,0.10,0,0,3552
1,Intestinal infectious diseases,65,Forestry Workers,1,0.18,563,14,3138,0.17,577,15,3213
1,Intestinal infectious diseases,66,Fishing & Related Workers,1,0.17,574,15,3197,0.16,628,16,3499
1,Intestinal infectious diseases,67,Tannery Production Operatives,0,0.06,0,0,6161,0.07,0,0,5293
1,Intestinal infectious diseases,68,Leather & shoe workers,0,0.44,0,0,843,0.51,0,0,721
1,Intestinal infectious diseases,69,Preparatory Fibre Processors,0,0.06,0,0,6165,0.06,0,0,6414
1,Intestinal infectious diseases,70,Spinners and Winders,0,0.10,0,0,3774,0.09,0,0,4017
1,Intestinal infectious diseases,71,Weavers,0,0.15,0,0,2438,0.18,0,0,2086
1,Intestinal infectious diseases,72,Knitters,0,0.11,0,0,3349,0.13,0,0,2843
1,Intestinal infectious diseases,73,"Warp Preparers, Bleachers, dyers & finishers",0,0.19,0,0,1953,0.22,0,0,1671
1,Intestinal infectious diseases,74,Other Textile Processing Operatives,0,0.25,0,0,1450,0.25,0,0,1484
1,Intestinal infectious diseases,75,Chemical workers,2,1.50,133,16,481,1.45,138,17,499
1,Intestinal infectious diseases,76,Bakers,0,0.54,0,0,678,0.64,0,0,579
1,Intestinal infectious diseases,77,Brewery & vinery process operatives,0,0.21,0,0,1785,0.24,0,0,1519
1,Intestinal infectious diseases,78,"Other Food, Drink & Tobacco Process Operatives nes",1,0.91,110,3,612,0.87,115,3,639
1,Intestinal infectious diseases,79,Paper manufacturers,0,0.23,0,0,1579,0.27,0,0,1353
1,Intestinal infectious diseases,80,Bookbinders,0,0.07,0,0,5543,0.08,0,0,4742
1,Intestinal infectious diseases,81,Paper cutters,0,0.05,0,0,7539,0.06,0,0,6380
1,Intestinal infectious diseases,82,Glass & ceramics furnace workers,0,0.09,0,0,3954,0.11,0,0,3357
1,Intestinal infectious diseases,83,Glass Product & Ceramic Finishers & Decorators,0,0.05,0,0,7181,0.06,0,0,6085
1,Intestinal infectious diseases,84,Ceramics casters,1,0.46,215,5,1200,0.55,183,5,1018
1,Intestinal infectious diseases,85,Rubber Manufacturers,0,0.30,0,0,1238,0.35,0,0,1053
1,Intestinal infectious diseases,87,Synthetic Fibre Makers,0,0.04,0,0,9142,0.04,0,0,9380
1,Intestinal infectious diseases,88,Other coal miners,5,5.12,98,32,228,4.78,105,34,244
1,Intestinal infectious diseases,89,Tobacco Process Operatives,0,0.06,0,0,6349,0.06,0,0,6531
1,Intestinal infectious diseases,93,Plastic goods makers,0,0.33,0,0,1121,0.31,0,0,1174
1,Intestinal infectious diseases,94,Compositors,0,0.18,0,0,2016,0.21,0,0,1723
1,Intestinal infectious diseases,96,Printing Machine Minders & Assistants,0,0.23,0,0,1581,0.28,0,0,1341
1,Intestinal infectious diseases,97,Printers,0,1.03,0,0,359,1.21,0,0,306
1,Intestinal infectious diseases,98,Tailors & Dressmakers,0,0.20,0,0,1846,0.23,0,0,1584
1,Intestinal infectious diseases,99,Clothing cutter,0,0.09,0,0,4050,0.11,0,0,3479
1,Intestinal infectious diseases,100,Sewers & embroiderers,0,0.08,0,0,4487,0.08,0,0,4842
1,Intestinal infectious diseases,101,Upholsterers,1,0.20,493,12,2747,0.24,422,11,2349
1,Intestinal infectious diseases,102,Carpet fitters,0,0.17,0,0,2156,0.20,0,0,1829
1,Intestinal infectious diseases,103,Other workers with fabrics,0,0.08,0,0,4715,0.09,0,0,4035
1,Intestinal infectious diseases,104,Carpenters & Joiners,1,2.63,38,1,212,3.10,32,1,180
1,Intestinal infectious diseases,105,Cabinet Makers,0,0.27,0,0,1379,0.31,0,0,1174
1,Intestinal infectious diseases,106,Case & Box Makers,0,0.05,0,0,6975,0.06,0,0,5892
1,Intestinal infectious diseases,107,Pattern Makers (moulds),0,0.11,0,0,3385,0.13,0,0,2870
1,Intestinal infectious diseases,108,Woodworking Machine Operatives,0,0.36,0,0,1026,0.42,0,0,873
1,Intestinal infectious diseases,109,Other Woodworkers,0,0.08,0,0,4568,0.10,0,0,3845
1,Intestinal infectious diseases,110,Dental Technicians,0,0.06,0,0,6578,0.07,0,0,5607
1,Intestinal infectious diseases,112,Furnace Operatives (metal),0,0.22,0,0,1640,0.26,0,0,1403
1,Intestinal infectious diseases,113,Rollers,0,0.04,0,0,9610,0.05,0,0,8129
1,Intestinal infectious diseases,114,Smiths & Forge Workers,0,0.26,0,0,1428,0.30,0,0,1221
1,Intestinal infectious diseases,115,Metal Drawers,0,0.07,0,0,4959,0.09,0,0,4201
1,Intestinal infectious diseases,116,"Moulders, Core Makers, Die Casters",1,0.36,275,7,1532,0.42,235,6,1311
1,Intestinal infectious diseases,117,Electroplater,0,0.11,0,0,3316,0.13,0,0,2796
1,Intestinal infectious diseases,118,"Annealers, Hardeners, Temperers (metal)",0,0.07,0,0,5170,0.07,0,0,5432
1,Intestinal infectious diseases,120,Other Metal Manufacturers,1,1.02,98,2,546,0.92,109,3,606
1,Intestinal infectious diseases,121,Press Setters & Setter-Operators,0,0.04,0,0,9875,0.04,0,0,8487
1,Intestinal infectious diseases,122,"Centre, Capstan, Turret & Other Lathe Setters & Setter-Oper",1,0.51,197,5,1099,0.59,169,4,941
1,Intestinal infectious diseases,123,Machine Tool Setter Operators,1,1.25,80,2,444,1.31,76,2,425
1,Intestinal infectious diseases,124,Machine Tool Operatives (including CNC machine tool operati,5,5.77,87,28,202,5.47,91,30,213
1,Intestinal infectious diseases,125,Press Stamping & Automatic Machine Operatives,0,0.23,0,0,1607,0.21,0,0,1723
1,Intestinal infectious diseases,126,Metal Polishers,0,0.15,0,0,2509,0.17,0,0,2142
1,Intestinal infectious diseases,127,Fettler,0,0.13,0,0,2945,0.12,0,0,3150
1,Intestinal infectious diseases,128,Shot Blasters,0,0.05,0,0,6910,0.05,0,0,7480
1,Intestinal infectious diseases,129,"Tool Makers, Tool Fitters & Markers-Out",1,1.12,89,2,498,1.30,77,2,427
1,Intestinal infectious diseases,130,Precision Instrument Makers & Repairers,0,0.47,0,0,787,0.55,0,0,674
1,Intestinal infectious diseases,132,Production fitters,4,5.36,75,20,191,6.30,63,17,163
1,Intestinal infectious diseases,133,"Motor Mechanics, Auto Engineers (including road patrol engi",0,1.57,0,0,235,1.84,0,0,200
1,Intestinal infectious diseases,135,Office Machinery Mechanics,0,0.02,0,0,16007,0.03,0,0,13710
1,Intestinal infectious diseases,136,Production Fitters (electrical/electronic),0,0.12,0,0,3000,0.14,0,0,2552
1,Intestinal infectious diseases,137,"Electricians, Electrical Maintenance Fitters",2,2.13,94,11,340,2.51,80,10,288
1,Intestinal infectious diseases,139,Telephone Fitters,0,0.48,0,0,776,0.56,0,0,660
1,Intestinal infectious diseases,140,"Cable Jointers, Lines Repairers",1,0.19,524,13,2920,0.22,445,11,2480
1,Intestinal infectious diseases,141,"Radio, TV & Video Engineers",0,0.21,0,0,1754,0.25,0,0,1493
1,Intestinal infectious diseases,142,Other Electrical/Electronic Trades nes,0,0.91,0,0,404,1.04,0,0,354
1,Intestinal infectious diseases,143,Electrical Engineers (not professional),1,1.00,100,3,555,1.14,87,2,487
1,Intestinal infectious diseases,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",1,1.74,58,1,321,2.06,49,1,271
1,Intestinal infectious diseases,145,Sheet Metal Workers,0,0.69,0,0,534,0.81,0,0,455
1,Intestinal infectious diseases,146,"Metal Plate Workers, Shipwrights, Riveters",1,0.63,158,4,881,0.74,135,3,753
1,Intestinal infectious diseases,147,Steel Erectors,0,0.47,0,0,788,0.55,0,0,666
1,Intestinal infectious diseases,148,"Scaffolders, Stagers, Steeplejacks, Riggers",1,0.50,199,5,1106,0.47,213,5,1189
1,Intestinal infectious diseases,149,Welding Trades,0,1.30,0,0,283,1.54,0,0,240
1,Intestinal infectious diseases,151,Jewellery workers,0,0.06,0,0,6348,0.07,0,0,5437
1,Intestinal infectious diseases,153,Coach & Vehicle Body Builders,0,0.19,0,0,1970,0.22,0,0,1681
1,Intestinal infectious diseases,154,"Oilers, Greasers, Lubricators",0,0.03,0,0,10549,0.04,0,0,8958
1,Intestinal infectious diseases,158,Coach Painters,0,0.47,0,0,782,0.44,0,0,838
1,Intestinal infectious diseases,160,Painters & Decorators,9,2.56,351,160,666,3.03,297,136,564
1,Intestinal infectious diseases,161,Assemblers/Lineworkers (electrical/electronic goods),1,0.30,333,8,1857,0.28,352,9,1961
1,Intestinal infectious diseases,162,Other Assemblers/Lineworkers nes,0,0.13,0,0,2906,0.12,0,0,3166
1,Intestinal infectious diseases,163,Assemblers/Lineworkers (vehicles & other metal goods),1,1.00,100,3,555,0.96,105,3,583
1,Intestinal infectious diseases,164,"Packers, Sorters and Testers",6,2.53,237,87,517,2.47,243,89,528
1,Intestinal infectious diseases,165,"Bricklayers, Masons",2,1.49,135,16,486,1.74,115,14,414
1,Intestinal infectious diseases,167,Plasterers,0,0.44,0,0,837,0.52,0,0,710
1,Intestinal infectious diseases,168,Roofers and Glaziers,0,0.41,0,0,904,0.37,0,0,986
1,Intestinal infectious diseases,169,"Builders, Building Contractors",1,2.03,49,1,274,2.39,42,1,233
1,Intestinal infectious diseases,170,Rail Construction & Maintenance Workers,1,0.27,371,9,2070,0.26,382,10,2127
1,Intestinal infectious diseases,171,Road Construction Workers and Paviors,0,0.55,0,0,666,0.49,0,0,759
1,Intestinal infectious diseases,172,Sewage plant attendants,0,0.27,0,0,1370,0.23,0,0,1590
1,Intestinal infectious diseases,173,"Mains & Service Pipe Layers, Pipe Jointers",0,0.27,0,0,1354,0.26,0,0,1425
1,Intestinal infectious diseases,174,Other Construction Workers,10,3.89,257,123,473,3.38,295,142,543
1,Intestinal infectious diseases,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",1,0.56,179,5,1000,0.65,154,4,856
1,Intestinal infectious diseases,176,Mine (excluding coal) & Quarry Workers,1,0.30,339,9,1888,0.28,359,9,2001
1,Intestinal infectious diseases,177,Railway guards,1,0.34,298,8,1661,0.39,254,6,1418
1,Intestinal infectious diseases,178,Railway signal workers,0,0.20,0,0,1856,0.23,0,0,1587
1,Intestinal infectious diseases,179,Shunters & points operatives,0,0.07,0,0,5208,0.08,0,0,4437
1,Intestinal infectious diseases,180,Railway engine drivers,0,0.65,0,0,565,0.76,0,0,483
1,Intestinal infectious diseases,181,Road transport inspectors,0,0.21,0,0,1748,0.25,0,0,1494
1,Intestinal infectious diseases,182,Bus & Coach Drivers,3,1.12,267,55,781,1.33,226,47,661
1,Intestinal infectious diseases,183,Lorry drivers,8,6.27,128,55,251,7.43,108,46,212
1,Intestinal infectious diseases,184,Other motor drivers,1,0.96,104,3,579,1.15,87,2,486
1,Intestinal infectious diseases,185,Bus Conductors and Drivers' Mates,0,0.30,0,0,1234,0.27,0,0,1343
1,Intestinal infectious diseases,186,Mechanical Plant Drivers & Operatives (earth moving & civil,0,0.40,0,0,921,0.48,0,0,774
1,Intestinal infectious diseases,187,Crane Drivers,1,0.70,143,4,799,0.82,122,3,677
1,Intestinal infectious diseases,188,Fork Lift & Mechanical Truck Drivers,0,0.71,0,0,519,0.85,0,0,435
1,Intestinal infectious diseases,189,Slingers,0,0.09,0,0,4004,0.11,0,0,3390
1,Intestinal infectious diseases,190,Storekeepers & warehousemen/women,6,4.94,121,45,264,4.69,128,47,278
1,Intestinal infectious diseases,191,Dockers and Goods Porters,0,1.82,0,0,203,1.48,0,0,249
1,Intestinal infectious diseases,192,Refuse & Salvage Collectors,0,0.68,0,0,545,0.55,0,0,671
1,Intestinal infectious diseases,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",1,0.94,107,3,594,0.88,113,3,631
1,Intestinal infectious diseases,195,Beauticians & Related Occupations,0,0.00,0,0,186172,0.00,0,0,218040
1,Intestinal infectious diseases,196,Other Crafts,0,0.22,0,0,1661,0.22,0,0,1698
1,Intestinal infectious diseases,197,Other Transport and Machine Operatives,2,1.75,115,14,414,1.69,118,14,426
1,Intestinal infectious diseases,198,Other Labourers,16,12.89,124,71,202,10.39,154,88,250
1,Intestinal infectious diseases,199,"Vehicle body repairers, panel beaters",0,0.10,0,0,3591,0.12,0,0,3032
2,Tuberculosis,1,Lawyers,2,1.25,160,19,579,1.96,102,12,368
2,Tuberculosis,2,Accountants and Financial Managers,6,5.49,109,40,238,7.06,85,31,185
2,Tuberculosis,3,Personnel Managers etc,3,2.59,116,24,339,2.80,107,22,314
2,Tuberculosis,4,Economists & statisticians,0,0.14,0,0,2727,0.25,0,0,1496
2,Tuberculosis,5,Computer Programmers and Managers,2,0.78,257,31,929,0.89,225,27,814
2,Tuberculosis,6,Sales Managers etc.,8,8.07,99,43,195,8.71,92,40,181
2,Tuberculosis,7,Government Inspectors,1,0.92,108,3,603,1.00,100,3,557
2,Tuberculosis,8,Government administrators,5,2.55,196,64,457,2.92,171,56,400
2,Tuberculosis,9,Other Administrators,44,32.64,135,98,181,35.22,125,91,168
2,Tuberculosis,10,Teachers in Higher Education,1,2.91,34,1,191,4.00,25,1,139
2,Tuberculosis,11,School Teachers,6,6.96,86,32,188,7.52,80,29,174
2,Tuberculosis,12,"Vocational Trainers, Social Scientists etc.",1,2.09,48,1,267,2.44,41,1,229
2,Tuberculosis,13,Welfare Workers,4,1.91,209,57,535,2.05,196,53,501
2,Tuberculosis,14,Clergy,0,0.98,0,0,376,1.84,0,0,200
2,Tuberculosis,15,Doctors,1,1.15,87,2,484,2.18,46,1,255
2,Tuberculosis,16,Dentists,0,0.25,0,0,1456,0.48,0,0,773
2,Tuberculosis,17,Nurses,2,1.65,121,15,438,1.78,112,14,406
2,Tuberculosis,18,Pharmacists/Pharmacologists,0,0.36,0,0,1016,0.68,0,0,541
2,Tuberculosis,19,Medical Radiographers,0,0.07,0,0,4975,0.08,0,0,4588
2,Tuberculosis,20,Physiotherapists,0,0.09,0,0,4307,0.09,0,0,4038
2,Tuberculosis,21,Other Health Professions,0,1.19,0,0,310,1.36,0,0,271
2,Tuberculosis,22,Veterinarians,1,0.11,888,22,4950,0.20,494,12,2751
2,Tuberculosis,23,Driving Instructors (excluding HGV),0,1.27,0,0,290,1.13,0,0,326
2,Tuberculosis,24,Literary and Artistic Occupations,3,6.36,47,10,138,6.51,46,10,135
2,Tuberculosis,25,"Professional athletes, sports officials",0,0.32,0,0,1147,0.29,0,0,1275
2,Tuberculosis,26,Biological scientists,0,0.36,0,0,1013,0.68,0,0,540
2,Tuberculosis,27,Chemical Engineers and Scientists,0,0.92,0,0,401,1.78,0,0,207
2,Tuberculosis,28,Physical Scientists & mathematicians,0,0.60,0,0,614,1.16,0,0,319
2,Tuberculosis,29,Electrical and Electronic Engineers (professional),2,0.48,418,51,1511,0.90,223,27,806
2,Tuberculosis,30,Other Professional Engineers,7,6.24,112,45,231,11.87,59,24,122
2,Tuberculosis,31,Draughtspersons,7,4.22,166,67,342,3.70,189,76,390
2,Tuberculosis,32,Laboratory Technicians,2,1.97,102,12,367,2.13,94,11,339
2,Tuberculosis,33,Architects and Surveyors,4,2.72,147,40,376,4.42,91,25,232
2,Tuberculosis,34,Aircraft Flight Deck Officers,0,0.53,0,0,698,0.58,0,0,641
2,Tuberculosis,35,Air Traffic Controllers,0,0.14,0,0,2551,0.16,0,0,2371
2,Tuberculosis,36,Seafarers,5,4.81,104,34,242,4.77,105,34,245
2,Tuberculosis,37,Other Technicians,2,3.47,58,7,208,3.72,54,7,194
2,Tuberculosis,38,Production and maintenance managers,7,14.37,49,20,100,15.37,46,18,94
2,Tuberculosis,39,Managers in Construction,7,3.66,191,77,394,3.68,190,76,392
2,Tuberculosis,40,"Managers in Transport, Mining and Energy Industries",8,9.05,88,38,174,9.80,82,35,161
2,Tuberculosis,41,General and office managers,9,8.91,101,46,192,9.63,93,43,177
2,Tuberculosis,42,Butchers,0,4.44,0,0,83,4.51,0,0,82
2,Tuberculosis,43,"Fishmongers, Poultry Dressers",1,0.29,350,9,1952,0.32,315,8,1756
2,Tuberculosis,44,Retailers and Dealers,9,10.05,90,41,170,9.38,96,44,182
2,Tuberculosis,45,Publicans and Bar staff,2,6.53,31,4,111,6.95,29,3,104
2,Tuberculosis,46,Caterers,6,4.12,146,54,317,3.95,152,56,330
2,Tuberculosis,47,Farmers,17,28.50,60,35,95,28.86,59,34,94
2,Tuberculosis,48,Armed Forces,14,14.00,100,55,168,5.62,249,136,418
2,Tuberculosis,49,Police,1,5.40,19,0,103,4.87,21,1,114
2,Tuberculosis,50,Fire Service Personnel,0,1.78,0,0,207,1.66,0,0,223
2,Tuberculosis,51,"Launderers, Dry Cleaners, Pressers",0,0.63,0,0,589,0.60,0,0,611
2,Tuberculosis,52,Hairdressers,2,1.01,197,24,712,0.95,210,25,759
2,Tuberculosis,53,Office Workers and Cashiers,60,54.02,111,85,143,46.95,128,98,164
2,Tuberculosis,54,"Postal Workers, Mail Sorters",4,10.10,40,11,101,9.70,41,11,106
2,Tuberculosis,55,Petrol Pump Forecourt Attendants,1,0.37,273,7,1520,0.32,315,8,1756
2,Tuberculosis,56,Roundsmen/women & Van Salespersons,4,2.19,183,50,468,2.43,165,45,422
2,Tuberculosis,57,Sales Representatives,11,12.04,91,46,164,10.85,101,51,181
2,Tuberculosis,58,Security Workers,19,13.97,136,82,212,13.28,143,86,223
2,Tuberculosis,59,Cooks and Kitchen Porters,9,3.60,250,114,475,3.65,247,113,469
2,Tuberculosis,60,Other Service Personnel,29,25.79,112,75,162,22.05,132,88,189
2,Tuberculosis,61,Hospital Porters and Ward Orderlies,4,3.95,101,28,259,3.82,105,29,268
2,Tuberculosis,62,Ambulance Staff,2,1.05,191,23,690,1.17,171,21,617
2,Tuberculosis,63,Railway Station Staff,5,4.38,114,37,266,3.39,147,48,344
2,Tuberculosis,64,Undertakers,0,0.42,0,0,874,0.46,0,0,807
2,Tuberculosis,65,Forestry Workers,0,0.77,0,0,481,0.76,0,0,486
2,Tuberculosis,66,Fishing & Related Workers,0,0.74,0,0,498,0.70,0,0,524
2,Tuberculosis,67,Tannery Production Operatives,0,0.27,0,0,1361,0.30,0,0,1223
2,Tuberculosis,68,Leather & shoe workers,1,2.00,50,1,279,2.23,45,1,250
2,Tuberculosis,69,Preparatory Fibre Processors,1,0.26,390,10,2172,0.25,400,10,2231
2,Tuberculosis,70,Spinners and Winders,0,0.42,0,0,884,0.40,0,0,917
2,Tuberculosis,71,Weavers,0,0.69,0,0,535,0.77,0,0,480
2,Tuberculosis,72,Knitters,0,0.51,0,0,724,0.57,0,0,649
2,Tuberculosis,73,"Warp Preparers, Bleachers, dyers & finishers",0,0.86,0,0,429,0.96,0,0,385
2,Tuberculosis,74,Other Textile Processing Operatives,2,1.10,182,22,656,1.09,183,22,661
2,Tuberculosis,75,Chemical workers,5,6.48,77,25,180,6.34,79,26,184
2,Tuberculosis,76,Bakers,3,2.50,120,25,351,2.78,108,22,315
2,Tuberculosis,77,Brewery & vinery process operatives,1,0.96,105,3,583,1.07,94,2,522
2,Tuberculosis,78,"Other Food, Drink & Tobacco Process Operatives nes",6,3.92,153,56,333,3.82,157,58,341
2,Tuberculosis,79,Paper manufacturers,0,1.06,0,0,348,1.18,0,0,313
2,Tuberculosis,80,Bookbinders,1,0.30,329,8,1832,0.34,295,7,1643
2,Tuberculosis,81,Paper cutters,0,0.23,0,0,1620,0.25,0,0,1451
2,Tuberculosis,82,Glass & ceramics furnace workers,0,0.43,0,0,855,0.48,0,0,766
2,Tuberculosis,83,Glass Product & Ceramic Finishers & Decorators,1,0.24,418,11,2330,0.27,375,9,2087
2,Tuberculosis,84,Ceramics casters,1,2.15,46,1,259,2.40,42,1,232
2,Tuberculosis,85,Rubber Manufacturers,1,1.37,73,2,406,1.53,65,2,364
2,Tuberculosis,87,Synthetic Fibre Makers,1,0.17,578,15,3221,0.17,592,15,3300
2,Tuberculosis,88,Other coal miners,26,21.83,119,78,175,20.77,125,82,183
2,Tuberculosis,89,Tobacco Process Operatives,0,0.25,0,0,1475,0.25,0,0,1505
2,Tuberculosis,93,Plastic goods makers,0,1.42,0,0,259,1.39,0,0,266
2,Tuberculosis,94,Compositors,0,0.84,0,0,441,0.93,0,0,396
2,Tuberculosis,96,Printing Machine Minders & Assistants,0,1.08,0,0,341,1.21,0,0,306
2,Tuberculosis,97,Printers,5,4.74,106,34,246,5.29,95,31,221
2,Tuberculosis,98,Tailors & Dressmakers,3,0.91,331,68,966,1.01,297,61,868
2,Tuberculosis,99,Clothing cutter,0,0.41,0,0,896,0.46,0,0,805
2,Tuberculosis,100,Sewers & embroiderers,2,0.35,572,69,2065,0.33,598,72,2159
2,Tuberculosis,101,Upholsterers,2,0.93,216,26,780,1.03,194,23,701
2,Tuberculosis,102,Carpet fitters,1,0.80,126,3,700,0.89,113,3,627
2,Tuberculosis,103,Other workers with fabrics,0,0.36,0,0,1033,0.40,0,0,926
2,Tuberculosis,104,Carpenters & Joiners,15,12.23,123,69,202,13.65,110,61,181
2,Tuberculosis,105,Cabinet Makers,1,1.23,81,2,452,1.38,73,2,405
2,Tuberculosis,106,Case & Box Makers,0,0.25,0,0,1493,0.28,0,0,1336
2,Tuberculosis,107,Pattern Makers (moulds),0,0.51,0,0,729,0.56,0,0,653
2,Tuberculosis,108,Woodworking Machine Operatives,2,1.66,121,15,436,1.85,108,13,391
